Topic,Topic,Topic,,,,,
Intelligent Agents ,,,,,,,
,Agents and Environments ,,,,,,
,Good Behavior: The Concept of Rationality,,,,,,
,,Rationality,,,,,
,,"Omniscience, learning, and autonomy",,,,,
,The Nature of Environments,,,,,,
,,Specifying the task environment,,,,,
,,Properties of task environments,,,,,
,The Structure of Agents ,,,,,,
,,Agent programs ,,,,,
,,Simple reflex agents,,,,,
,,Model-based reflex agents,,,,,
,,Goal-based agents,,,,,
Solving Problems by Searching,,,,,,,
,Problem-Solving Agents,,,,,,
,,Well-defined problems and solutions,,,,,
,,Formulating problems,,,,,
,Example Problems ,,,,,,
,,Toy problems ,,,,,
,,Real-world problems,,,,,
,Searching for Solutions,,,,,,
,,Infrastructure for search algorithms,,,,,
,,Measuring problem-solving performance,,,,,
,Uninformed Search Strategies,,,,,,
,,Breadth-first search ,,,,,
,,Uniform-cost search,,,,,
,,Depth-first search,,,,,
,,Depth-limited search,,,,,
,,Iterative deepening depth-first search,,,,,
,,Bidirectional search,,,,,
,,Comparing uninformed search strategies,,,,,
,Informed (Heuristic) Search Strategies,,,,,,
,, Greedy best-first search,,,,,
,,A* search: Minimizing the total estimated solution cost,,,,,
,,Conditions for optimality: Admissibility and consistency,,,,,
,,Optimality of A* ,,,,,
,,Memory-bounded heuristic search,,,,,
,,Learning to search better ,,,,,
,Heuristic Functions,,,,,,
,,The effect of heuristic accuracy on performance,,,,,
,,Generating admissible heuristics from relaxed problems,,,,,
,,Generating admissible heuristics from subproblems: Pattern databases,,,,,
Beyond Classical Search,,,,,,,
,Local Search Algorithms and Optimization Problems,,,,,,
,,Hill-climbing search,,,,,
,,Simulated annealing ,,,,,
,,Local beam search,,,,,
,,Genetic algorithms,,,,,
,,,,,,,
,Searching with Nondeterministic Actions  ,,,,,,
,,The erratic vacuum world,,,,,
,,AND-OR search trees,,,,,
,Searching with Partial Observations,,,,,,
,,Searching with no observation,,,,,
,,Searching with observations,,,,,
,,Solving partially observable problems,,,,,
,,An agent for partially observable environments,,,,,
,Online Search Agents and Unknown Environments,,,,,,
,,Online search problems,,,,,
,,Online search agents,,,,,
,,Online local search,,,,,
,,Learning in online search,,,,,
Adversarial Search,,,,,,,
,Games,,,,,,
,Optimal Decisions in Games,,,,,,
,,The minimax algorithm,,,,,
,,Optimal decisions in multiplayer games,,,,,
,Alpha--Beta Pruning ,,,,,,
,,Move ordering,,,,,
,Imperfect Real-Time Decisions,,,,,,
,,Evaluation functions,,,,,
,,Cutting off search,,,,,
,,Forward pruning,,,,,
,,Search versus lookup,,,,,
,Stochastic Games,,,,,,
,,Evaluation functions for games of chance,,,,,
,Partially Observable Games,,,,,,
,,Kriegspiel: Partially observable chess,,,,,
,,Card games,,,,,
,State-of-the-Art Game Programs,,,,,,
,Alternative Approaches,,,,,,
Constraint Satisfaction Problems ,,,,,,,
,Defining Constraint Satisfaction Problems  ,,,,,,
,,Types of constraints,,,,,
,,Example problem: Map coloring ,,,,,
